The original input was: 5 (0,3,200,3)(0,9,500,3)(0,20,500,3)(100,1,100,3)(100,100,500,3)
The (sorted) input is: 5 (0,3,200,3)(0,9,500,3)(0,20,500,3)(100,1,100,3)(100,100,500,3)

This detailed printout gives the state and remaining burst for each process

before cycle: 298 ready 0 	 running 1	 ready 0 	 ready 0 	 ready 0 
before cycle: 299 ready 0 	 blocked 2	 running 6	 ready 0 	 ready 0 
before cycle: 300 ready 0 	 blocked 1	 running 5	 ready 0 	 ready 0 
before cycle: 301 ready 0 	 ready 0 	 running 4	 ready 0 	 ready 0 
before cycle: 302 ready 0 	 ready 0 	 running 3	 ready 0 	 ready 0 
before cycle: 303 ready 0 	 ready 0 	 running 2	 ready 0 	 ready 0 
before cycle: 304 ready 0 	 ready 0 	 running 1	 ready 0 	 ready 0 
before cycle: 305 ready 0 	 ready 0 	 blocked 1	 running 1	 ready 0 
before cycle: 306 running 3	 ready 0 	 ready 0 	 blocked 1	 ready 0 
before cycle: 307 running 2	 ready 0 	 ready 0 	 ready 0 	 ready 0 
before cycle: 308 running 1	 ready 0 	 ready 0 	 ready 0 	 ready 0 
before cycle: 309 blocked 3	 ready 0 	 ready 0 	 ready 0 	 running 47
before cycle: 310 blocked 2	 ready 0 	 ready 0 	 ready 0 	 running 46
before cycle: 311 blocked 1	 ready 0 	 ready 0 	 ready 0 	 running 45
before cycle: 312 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 44
before cycle: 313 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 43
before cycle: 314 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 42
before cycle: 315 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 41
before cycle: 316 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 40
before cycle: 317 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 39
before cycle: 318 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 38
before cycle: 319 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 37
before cycle: 320 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 36
before cycle: 321 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 35
before cycle: 322 ready 0 	 ready 0 	 ready 0 	 ready 0 	 running 34
